weaponsWaffen_careerKarriere;0
?;1
?;2
?;3
?;4
?;5
?;6
?;7
?;8
?;9
?;11
?;12
?;13
?;14
?;15
?;16
?;17
?;18
?;19
?;20
?;21
radiation - micro wave, x-ray, cancer radioactivity beam weapon tachyon radiation;Strahlung - Mikrowelle, Röntgen, Krebs Radioaktivitäts Strahlenwaffe Tachyonen Strahlung;22
illness, poison, parasites infections;Krankheit, Gift, Parasiten Infektionen;23
masks multimedia artificial intelligence;Masken Multimedia künstliche Intelligenzen;24
gloves intertrack;Handschuhe Spuren;25
iron will strategy game theory space time geo strategist turn based board gamer;eisener Wille Strategie Spieltheorie Raum-Zeit-Geo-Stratege runden basierter Brett Spieler;26
seduction Lasso caught;Verführung Lasso Gefangen;27
fattening goose overtake;mästen Gänse Übernahme;28
spiritual warfare intruder abyss deep ressourses;spirituelle Kriegsführunge eindringen Abgrund tief Ressourcen;29
freezeGefrieren coldKalt coolKühl frozenGefrohren, digestionVerdauungs_system_brainGehirn_defenseVerteidigungDevilTeufel_Satan_ByDurchMuscleMuskelBrainGehirnResilenceResilienz61;30;
absorbAbsorbieren energyEnergie weaponizationBewaffung finnalyLetztlich energeticEnergetische weaponWaffe anythingIrgendetwas weaponWaffe mentalMentales investmentInvestieren worldWeltPeopleVolk inspectInspizieren intrudeEindringen;31
stickVer togetherKleben gumGummiharz somethingVerkleben aggluniateKleben glueKleben;;32formableFormbare polaryPolare weaponsWaffen asWie likeWie polaryPolare adjustedZugewiesenw energyEnergie etcUsw;;33
