?;0
lonesomeEinsam lonelyAllein;1
settlementSiedlung skinHaut;2
lifeLeben homeZuhause;3
ProgressFortschritt clothKleidung;4
natureNatur biologyBiologie physicsPhysik;5
DevelopmentEntwicklung wallsWände;6
EcoÖko systemicSystemisch;7
cultureKultur collectivesKollektive bordersGrenzen;8
animalsTiere organismsOrganismen organicOrganisch beastsTiere organizationOrganisation;9
civilizationZivilisation;10
spaceWeltraum cowboyKuhjunge;11
spaceWeltraum copPolizist managementHandhabung administrateVerwalten maintainAufrechterhalten orderOrdnung;12
spaceWeltraum doctorArzt firefighterFeuerwehrmann nurseKrankenschwester fostererPfleger teacherLehrer;13
spaceWeltraum tinkererTüftler plumberKlemptner hobbystHobbymensch playerSpieler solverLöser puzzlerPuzzeler spaceWeltraum hacker programmerProgrammierer engineerIngenieur;14
hiveSchwarm mindGeist spiritSeele brainGehirn consciousnessBewusstsein overÜber mindGeist;15
workersGewerk unionsSchaften;16
insideInnen ministryMinisterium;17
ambassyBotschaft diplomacyDiplomatie linguisticsLinguistik notNicht languageSprache;18
outsideAussen ministryMinisterium;19
