dodegramDodegramm twelveZwölf L L dodecadegramDodekadegramm learnLerne studyStudiere educateBilde yourselfDich aboutÜber farFern eastOst asiansAsianten aEine kindArt ofVon middleMittel earthErde twentyeightAchtundzwanzig AB AB continuumKontinuum organizationOrganisation;
insultBeleidigen;1
spitSpucken ontoAuf faceGesicht headKopf;2
hitSchlagen anywhereIrgendwohin;3
showZeigen dispiseVerachtung likeWie lookSchaun downHerunter noKeine hornorEhre removeEntfernen takenGenommen ;4
humiliationDemütigung;5
EightAcht H  H octagramOktagramm hornorEhre comparisionVergleich comparingVergleichen compareVergleiche verglichenMatch dignityWürde heptagramSeptagramm septagramHeptagramm G G sevenSieben nineNeun I I nonagramNonagramm graceAnmut;6
EvilBöse eyesAugen lookSchauen badSchlecht harmingSchädigend  glanceBlicken insideInnerhalb eyesAugen determinedBestimmt controledKontrolliert;7
smileLächeln niceNett politeHöflich calmRuhig peaceFrieden;8
determinedBestimmt certainSicher calmRuhig factsFakten tenZehn decagramDekagramm J J;9
GuiltySchuldig judgeUrteilen estimateEinschätzen blameBeschuldigen hardHart edgyEckig solidFest maleMännlich concreteKonkret determinedBestimmt twoZwei lineLinie B B;10
WrongFalsche DisgustingWiderliche uglyHässliche uglyEklige untruthsUnwahrheiten LegitEchte LiesLügen conspiracyVerschwörung darkDunkel hiddenVersteckt twentythreeDreiundzwanzig  W W triacosigramTriaikosigramm;11
LaughLachen atÜber someoneJemanden withoutOhne reasonsGründe purposeZweck funSpaß joyFreude harmSchädigung badSchlecht;12
InvisibleUnsichtbarer hiddenVersteckt darkDunkel secretGeheim creativeKreative artKunst considerBetrachte;13
makeMachen homelessObdachlos poorArm creationErschaffung causationBewirkung fifeFünf pentagramPentagramm E E likeWie asAls communismKommunismus socialismSozialimus femaleWeibliches sexGeschlecht genderGeschlecht womenFrauen ladiesDamen grandmasOmas fleshFleisch meatFleisch tastyLecker yummySchmackhaft eatEssen nutrionNahrung foodEssen mealMahlzeit foodstuffNahrungsmittel superGrocery storeMarkt buyKaufen purchaseEinkaufen everydayAlltag lifeLeben eatEssen mealMahlzeit usualGewöhnlich normalizedNormalisiert buildingsGebäude buildersBauer farmersFarmer stoneStein onAuf stoneStein soonBald buildingGebäude houseHaus readyFertig doneGetan perfectPerfekte bestBeste optimumOptimale correctRichtige improvedVerbesserte workersArbeiter employeesArbeitnehmer moneyGeldRichReich taxationSteuererhabung sexualSexuelle pleasureVergnügen lustLust holidayUrlaub fuckFick intercourseGeschlechtsverkehr peaceFrieden satisfiedZufriedengestellt goodGute workArbeit workersArbeiter unionsGewerkschaften hexadecadegramHexadekadegramm hexadegramHexadekadegramm sixteenSechszehn P P continuumKontinuum;14
MobbingBullying bullyMobber;15
BadmouthSchlechtreden lowerSenken valueWert numberZahl worthWert hierarchyHierarchie heightHöhe lowerNiedriger higherHöher complimentKompliment flowersBlumen speakReden talkReden badSchlecht rhetoricsRhetrok lookSchauen glanceBlicken whereeverIrgendwohin thinkDenke yourDeinen partTeil okayGut sufficiantAusreichend goneGegangen elsewhereWoandershin;16
kissKüssen showZeigen loveLiebe compassionMitgefühl empathyEmpathie feelingsGefühle emotionsEmotionen;17
nobleEdel positivePositiv;18
StealKlauen theftDiebstahl robRauben takeNehmen whatsoverIrgendetwas anywhereIrgendwoher whomWer whatWas thingDing issueSache humansMenschen peopleVolk folkVolk peopleLeute animalsTiere petsHaustiere artKunst worthWert remembranceErinnerungen heritageErbe familiyFamlie hornorEhre dignityWürde prideStolz proudStolz takenGenommen purposefullyAbsichtlich humansMenschen;19
falseFalsche flagFlagge strategicallyStrategisch cooperativeKooperativ gameSpiel theoryTheorie mapKarte geographicallyGeographisch geologicGeologisch topographicTopographisch topologicTopologisch strategyStrategie spaceRaum roomRaum groundBoden earthErde foundationFundament planeFläche unitsEinheiten soldiersSoldaten marinesMarine battlefieldSchlachtfeld typesTypen determinationBestimmungs systemSystem orderOrdnung abstractAbstrakter syntaxSyntax treeBaum dimensionsDimensionen multiverseMultiversum P P continuumKontinuum multiverseMultiversum dimensionsDimensionen gameSpiel theoryTheorie optimizationOptimierung improvementVerbesserung andUnd asWie superiorityÜberlegenheit sublimeErhaben consciousnessBewusstsein awarenessBewusstheit;20
MakeMachen createErschaffen causeBewirken aggressionAggression provokeProvizieren angerWut letLass othersAndere furtherWeiter showZeigen characterCharakter viewAnsicht displayAnzeige behaviourVerhalten;21
GermanDeutsche saxonsSächsische berlinsBerliner SalamiSalami swampSumpf stickFestkleben tacticsTaktik slowlyLangsam extremeExtremer slowLangsamer yearsJahre enduringAndauernde destructionZerstörung soulSeele mindGeist brainGehirn nerviousNerven systemSystem orderOrdnung breakZer downBrechen tearsTränen cryWeinen shoutRufen painSchmerz sufferingLeiden goneWeg peaceFrieden victimOpfer undergroundUnterdirsch lifeLeben continuesGehtweiter continueWeitermachen evilBöse noKeine humansMenschen selfSelbst destructionZerstörung humanoidMenschlich byDurch extraterristrialsAußerirdisch secretGeheim hiddenVersteckt darkDunkel coffeeKaffee tastySchmackhaft yummyLecker coffeeKaffe withMit milkMilch pleaseBitte thankDanke youDir commradeKammerat mateKumpel psychopathsPsychopthen everyoneJeder selfSelbst destructionZerstörung butAber notNicht justBloß recreateNeuerschaffen victimsOpfer geneticsGene heritageErbanlagen fromVon pastVergangenheit sexualSexuelle victimOpfer recreationNeuerschaffen rapeVergewaltigungs sexualSexuelle victimsOpfer pastVergange generationsGenerationen satanismSatanismus educationBildungs preschoolVorschule kindergradenKindergarten knowledgeWissen doctorsÄrzte medicineMedizin goodGute intensionsAbsichten motivesMotive mentalPsychisches eternalEwiges neverNiemals stoppingAufhörendes prisonGefängnis hospitalKrankenhaus meatFleisch fleshFleisch mealMahlzeit eatEssen politeHöflich biteBeißen togetherZusammen yummyLecker tastyLecker yearsJahre decadesJahrzehnte sufferingLeiden painSchmerz nowNun eatEssen tableTisch finnalyLetzendlich goodGuten appetiteAppetit noneNicht austriansÖsterreicher nextNeben germanyDeutschland nextNeben saxonySachen berlinBerlin exEhemals babylonBabylon ladysDamen grandmasOmas;22
ComplimentKompliment whichWelche intensionsAbsichten;23
demotivateDemotivieren takeNehmen goalsZiele aimsZielvorgaben;24
questionHinterfrage doubtZweifel capabilitiesBefähigungen ableFähig cleverSchlau intelligenceIntelligenz onlyNur importantWichtig notNicht virtuesWerte moralsMoral butAber onlyNur performanceLeistung manipulationManipulation victimOpfer brainGehirn mindGeist washingWaschen intoIn senselessSinnloser workArbeit horrbleSchreckliches endingEnde swampSumpf forZum secretlyGeheimen darkDunklen hiddenVerstecken sexualSexuellen intercourseGeschlechtsverkehr fuckFick keepHalte maintainAufrechterhalten intelligenceIntelligenz clevernessSchläue workArbeit workArbeit sweatSchweiß nonsenseUnsinn workArbeit workArbeit hardshipHärten neverNiemals everJemals neededGebraucht anymoreMehr bringsBring decadesJahrzehnte endlessUnendlichen noneNicht stoppableAufhörbaren alwaysImmer toZu everyJeder timeZeit sexualSexuellen intercourseGeschlechtsverkehr fuckFick importantWichtig seriousErnsthaft gradesNoten graduationAbschluss toZu goodGut bestBestens optimumOptimal reasonGrund causeBewirkt noKeine workArbeit noKein employeeArbeitnehmer homelessObdachlos innocentUnschuldiges victimOpfer removalEntfernung makeMache mentallyPsychisch illKrank diseaseKrankeit makeMache causeBewirke massMassen murdererMörder thausandTausend yearsJahre oneEin milleniumJahrtausend satanismSatanismus onlyNur schoolSchul teacherLehrer childrenKinder byDurch dutyPflicht childKind fromVom schoolSchul teacherLehrer restingÜbriggelassene prettyHübsche beautifulSchöne justBloß onlyNur geneticsGene heritagesErbanlagen fromVom pastVergangenen generationsGenerationen becauseWeil otherwiseAnonsten onlyNur schoolSchul teacherLehrer satanistsSatanisten soAlso thereforeDeswegen innocentUnschuldige prettyHübsche beautifulSchöne victimOpfer genesGene heritagesErbanlagen conspiracyVerschwörung darkDunkel hiddenVersteckt fuckFick deathTod sexualSexueller meatFleisch fleshFleisch mealMahlzeit notNicht alifeLebendig deadTot nextNächste nextNächste schoolSchule universityUniversität upperOber classSchicht royalKönigliche windsorsWindors kingKönig charlesCharles andUnd worldWelt economicWirtschafts forumForum zionZion swizlerlandSchweiz isIst zionZion notNicht israelIsrael bothBeide notNicht anymoreMehr removalEntfernung deletionLöschung;25
