Strukturwissenschaften Dimensionskoordinate D16 - > 10J Multiversum hälfte zu Musterwissenschaften;Musterwissenschaften Dimensionskoordinate D16 - > 20T Multiversum, doppelt zu Strukturwissenschaften;Aus der anderen Tabelle;0
Identifikationswissenschaften;;Klingel, Knopf, ein wirklich nur einzelnes Kreuz in einem Umfragebogen;1
Ecken Kanten Härten Wissenschaften;Existenz und Haken und Koordinatenwissenschaften;Notizen-Liste, Einkaufsliste, einfacher Sensor, Brille, Spiegel;2
Existenz und Haken und Koordinatenwissenschaften;Vorwärts Rückwärtswissenschaften;Harke (3), Löffel (3), Handschuhe (1/3), Kleidung (1/3);3
Vorwärts Rückwärtswissenschaften;Zählwissenschaft, z.B. mit Programmiersprachenprozeduren Funktionen, welche nicht wider von vorn anfangen, wenn der Code Iterpreter Compoler sozusagen wieder in sie hinein springt, dann geht es weiter statt wie von vorn noch mal los;Wecker (4), Kalender (4), Uhr (4), Fischernetz (1/4);4
Kapsel Box Wissenschaften;Mathematik Mathe;Domino;5
Zählwissenschaft, z.B. mit Programmiersprachenprozeduren Funktionen, welche nicht wider von vorn anfangen, wenn der Code Iterpreter Compoler sozusagen wieder in sie hinein springt, dann geht es weiter statt wie von vorn noch mal los;Kybernetik und Cyborgs und Cyberspace Zwölf statt Zehn Internet Webseiten;"Waage, (Geld- oder Personen-)-Zählmaschinen, (Müll-)-Trennungsmaschine ohne Elektronik, ohne viel Komplexität; Messgeräte (6 mit 1/6)";6
Navigations-Geraetschaften fuer z.B. Schiffe etc;Schwarm Maschinen mehr als nur Kollektive, wie Vögel oder Bienenschwärme;Kompass, Richtungsschild, Ruder, Lenkrad;7
Abakus Rechenmaschine ist eine einfache Turingmaschine und Erweiterung des Automaten der Automatentheorie ist die Turingmaschine;?;"Rechenmaschinen bzw. Abakus, die auch lange Division beherrschen; Regelbasierte Systeme; so genannte Steuerung und Regelung. Diese Maschinen können (2) nicht alles.; Kaffeemaschine, Waschmaschine, Automat";8
Kryptologiemaschine ist eine erweiterte Rechenmaschine mit der Zusatzidee von Variablen Quantoren usw. statt nur Rechnen als neuere Maschine;?;Chiffriermaschine, Kommunikationsnetzssysteme ohne ein turingvollständigen Computer dabei – d.h. alles Maschinen kurz vor der turingvollständigkeit. Diese Maschinen sind nicht für alles nützlich (3). Maschinen, Menschen zu zählen wie die Hollerith-Lochkartenmaschine, Colossus (England) und Enigma (Deutschland);9
Computer eine programmierbare Rechenmaschine und eine Turingmaschine innerhalb einer Turingmaschine;Computerwissenschaften alias Informatik;Computer, d.h. programmierbare Rechenmaschinen. Computer mögen die Zeitachse (4) nicht so sehr (Wir wollen schnelle Computer). Basiert auf Logik-Gattern;10
Robotik Androiden neue Formen der Automatisierung;?;"Robotik-Maschine (nicht mehr basierend auf Logik-Gatter, wie Computer); Maschinen, die es in ferner Zukunft gibt, die Systeme (11) und Verhalten (11) nachbilden, statt Wahrnehmbares (10) wie Computer (10) mit Bildschirmen, die sehr anders sind und funktionieren als Computer. Die Maschine „mag“ Kausalität (5) nicht so sehr.";11
Kybernetik und Cyborgs und Cyberspace Zwölf statt Zehn Internet Webseiten;Netzwerk-Topologie ist Kombination aus 24X mit 28AB in Strukturwissenschaften und die Hälfte in Musterwissenschaften 12L und 14N;"Kybernetik-Maschine (nicht mehr basierend auf Logik-Gatter, wie Computer); Cyborg (durch Sinne wie Schmecken, weil 12. die Eigenschaften sind); Vergleichende Waage; Abstraktionsmaschinen, die nicht nur auf Wahrheit, Bits, sondern auf jeglicher Struktur, basieren. Die Maschine ist gegen das Denken in Werten (6).";12
Autonome Maschinen, welche selbstständig handeln, statt nur automatisiert zu arbeiten;?;"Autonome Maschine; Maschinen, die jegliche Struktur in jegliche Struktur abbilden. Die Maschine ist gegen zu viel Verallgemeinerung (7).";13
Schwarm Maschinen mehr als nur Kollektive, wie Vögel oder Bienenschwärme;Netzwerk-Topologie ist Kombination aus 24X mit 28AB in Strukturwissenschaften und die Hälfte in Musterwissenschaften 12L und 14N;reine Steuerungs-Abstraktionsmaschinen, nicht auf jeglicher Struktur basieren, sondern jeglicher Steuerungs-Abstraktions-Struktur. Die Maschine „mag“ das bloße Dimensionale (8) nicht sehr.;14
Statt nur künstliche Intelligenz echtes künstliches Leben auch so wie Computerviren oder Computerwürmer, aber dieses mal echtes Leben und nicht nur winzig wie ein Virus Trojaner oder Wurm im Device, lebendig;?;Maschine, mit der man in Struktur das Universum sozusagen auffindet, d.h. man kann durch bloßes Strukturieren wissenschaftliche neue Erkenntnisse sammeln. Die Maschine „mag“ Einheitsdenken (9) nicht sehr.;15
?;?;?;16
?;?;?;17
?;?;?;18
?;?;?;19
Computerwissenschaften alias Informatik;Ingenieurwesen Engineering;?;20
?;?;?;21
?;?;?;22
?;?;?;23
Netzwerk-Topologie ist Kombination aus 24X mit 28AB in Strukturwissenschaften und die Hälfte in Musterwissenschaften 12L und 14N;?;?;24
?;?;?;25
?;?;?;26
?;?;?;27
Netzwerk-Topologie ist Kombination aus 24X mit 28AB in Strukturwissenschaften und die Hälfte in Musterwissenschaften 12L und 14N;?;?;28
?;?;?;29
?;?;?;30
?;?;?;31
?;?;?;32
?;?;?;33
?;?;?;34
?;?;?;35
?;?;?;36
?;?;?;37
?;?;?;38
?;?;?;39
Ingenieurwesen Engineering;?;?;40
